	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
S61953_at	10	171	10	10	179	10	10	10	10	142	10	65	10	29	275	158	129	56	10	152	10	189	76	10	148	10	100	94	10	108	88	180	10	324	245	10	51	33	10	10	68	10	51	193	10	112	10	10	21	45	10	39	24	10	39	110	157	10	10	10	94	115	51	10	10	20	130	177	194	250	10	20	177	10	10	82	87
S66431_at	78	449	1128	702	1223	474	131	924	1039	654	1363	713	99	83	28	71	10	10	43	10	10	10	147	43	74	10	10	10	141	10	465	180	1009	191	10	541	2154	972	66	234	10	10	26	702	128	111	107	119	142	43	73	10	10	253	561	32	135	287	234	58	10	10	10	10	197	221	126	266	453	385	148	69	10	10	71	10	32
S67070_at	10	1339	10	154	314	329	10	10	10	1012	790	253	106	138	10	60	370	144	10	328	447	10	10	468	10	10	10	302	430	260	10	343	10	768	548	203	10	268	10	437	189	10	871	143	19	10	444	132	73	563	168	35	99	616	184	120	234	734	895	368	116	10	10	10	410	85	10	397	443	563	407	10	45	10	379	10	243
S76617_at	37	426	10	10	237	94	10	498	686	660	2497	17	10	10	10	504	25	10	10	178	10	10	91	745	10	10	10	234	10	506	1121	89	2387	438	10	10	883	417	10	576	10	217	15	716	330	593	119	1611	44	74	700	279	88	1761	1477	176	163	10	987	10	167	10	568	197	21	154	294	1274	1811	889	618	116	713	10	1234	463	394
S78432_xpt1_at	202	342	263	10	88	309	316	55	482	297	387	211	109	10	10	181	10	245	22	216	10	10	10	66	10	10	249	102	10	289	443	36	441	125	226	123	181	249	23	167	103	57	105	179	10	10	120	10	83	10	328	440	169	202	236	209	118	10	10	349	52	93	314	10	163	263	10	66	171	320	17	10	159	10	119	297	10
S81294_at	95	10	10	10	11	10	10	29	10	10	42	47	10	281	301	101	34	138	153	10	441	172	93	175	171	16	107	156	116	155	14	144	10	172	590	10	10	10	288	10	10	10	146	10	99	10	199	140	10	116	114	10	10	215	10	162	10	103	163	278	284	261	157	2047	239	153	24	156	10	10	10	95	10	303	10	66	131
S81914_at	199	1461	739	2701	10	959	1277	1117	98	1340	529	969	271	10	10	97	65	60	126	218	10	1627	156	10	276	77	10	10	10	10	352	52	338	1414	10	948	838	967	238	10	152	292	190	516	145	336	10	35	236	112	242	10	115	10	168	50	423	267	284	85	10	10	295	10	10	231	297	212	107	10	230	205	211	149	159	45	10
S81957_at	363	10	10	10	10	10	10	10	10	87	10	22	11	87	175	139	28	10	112	26	63	12	10	10	10	48	114	10	10	168	376	26	12	90	89	10	10	10	209	10	118	10	104	10	42	10	14	36	10	19	10	11	16	223	146	132	54	57	12	35	617	788	110	777	48	48	10	102	189	146	153	545	10	10	62	205	388
S85963_at	81	10	10	10	10	10	10	10	10	10	10	93	59	306	252	44	125	10	62	12	10	10	10	10	10	10	309	10	125	10	191	150	10	140	406	10	10	90	107	23	10	135	280	10	31	10	31	10	32	170	10	88	10	193	121	10	44	99	157	497	284	270	188	10	61	89	10	291	10	160	210	84	10	55	131	137	388
U01062_at	65	681	173	545	475	656	1659	464	248	689	456	550	1626	80	92	122	99	30	134	10	77	783	10	10	209	10	10	121	10	10	722	65	1526	560	10	265	308	495	10	68	222	349	12	467	10	291	159	100	331	169	244	3824	10	128	851	10	66	76	374	10	10	10	10	10	10	72	10	488	219	218	246	448	167	10	31	10	10
U01317_cds6_at	29	10	81	10	75	10	10	10	10	104	10	10	113	43	280	233	10	108	10	181	367	10	87	10	10	217	199	53	306	40	646	72	189	71	420	18	83	10	474	145	10	12	186	23	10	10	16	70	10	28	86	10	122	10	131	125	19	146	99	153	106	358	166	10	33	10	10	130	145	107	162	191	90	237	105	10	263
U02031_at	18	10	1234	138	10	360	606	229	138	17	10	338	1106	10	10	647	296	10	840	211	10	474	10	110	10	10	30	10	10	117	1441	10	336	847	37	285	471	416	10	105	311	472	12	252	110	505	10	10	10	309	10	260	10	26	374	10	38	760	675	10	10	10	105	10	10	20	10	1001	274	298	308	10	192	10	23	173	10
U03090_at	10	65	146	65	219	107	49	121	10	115	11	74	27	10	211	40	15	52	10	54	468	329	22	270	63	12	10	73	10	28	38	10	23	187	10	103	10	151	10	10	15	176	10	160	10	10	10	10	10	163	10	130	69	172	149	10	11	39	424	192	10	10	83	974	142	36	10	119	10	101	10	18	145	10	59	10	10
U03911_at	167	12	153	178	407	339	151	259	254	156	67	334	570	10	10	532	10	423	97	248	10	232	391	156	13	25	10	14	10	236	745	66	746	543	10	85	673	443	10	70	110	314	10	241	79	485	128	176	451	345	185	2238	161	69	486	10	76	10	10	10	10	10	10	10	10	78	44	10	241	143	67	54	82	10	210	66	10
U04810_at	10	10	63	10	10	10	574	10	32	102	249	170	1039	10	115	155	76	10	267	10	10	10	10	10	10	10	10	10	10	10	10	10	682	10	10	10	431	667	10	10	10	212	10	169	10	10	10	10	11	11	10	483	10	10	12	10	10	10	41	10	76	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
U07000_cds4_at	133	149	10	291	10	69	85	77	46	178	10	141	13	10	118	66	35	10	129	10	159	101	10	123	10	10	172	10	10	114	10	103	40	10	108	306	60	369	10	10	70	10	96	10	10	11	33	71	27	60	287	10	99	357	104	23	99	25	152	83	163	10	108	334	10	25	10	26	10	78	35	10	55	235	43	101	97
U07231_at	32	325	215	208	1001	331	106	230	145	426	57	286	300	10	10	207	10	135	68	58	10	45	119	71	265	10	10	10	10	64	401	44	466	246	70	131	525	215	192	105	10	33	10	258	10	589	52	92	125	165	485	189	206	10	140	10	234	10	14	10	10	10	10	10	32	157	10	10	197	119	13	115	91	10	10	10	10
U07620_at	334	10	21	23	48	10	10	332	10	96	10	10	880	491	10	235	425	36	101	10	351	10	833	70	162	96	10	154	10	10	10	10	324	80	118	10	188	10	389	104	10	10	10	40	52	32	10	73	10	264	10	889	27	10	73	48	121	10	71	489	10	52	10	10	10	10	177	130	233	12	71	10	10	189	10	28	109
U08023_at	107	176	147	59	41	23	99	264	10	199	21	105	61	10	10	111	61	45	73	166	10	10	46	66	75	10	98	10	52	90	137	10	10	423	10	217	74	223	10	138	129	167	10	13	10	600	10	10	277	10	323	86	346	59	119	41	84	108	91	275	10	11	50	10	21	76	10	20	86	31	37	46	50	10	66	174	10
U08377_at	13	394	297	299	212	377	321	193	170	668	195	509	263	304	126	15	99	10	174	10	106	124	10	78	253	10	22	10	10	10	168	10	600	315	10	183	497	683	10	199	10	66	24	505	95	58	76	10	102	19	115	480	74	10	255	10	109	10	86	10	10	10	20	10	10	106	52	226	10	204	10	292	81	10	10	10	10
U08989_at	169	187	147	249	37	41	126	129	10	90	10	10	10	350	126	230	10	10	731	135	353	10	85	28	10	280	10	18	150	10	145	62	43	61	264	53	75	10	323	127	26	10	56	33	152	10	10	101	10	545	13	125	10	10	93	198	199	313	54	10	10	162	167	442	197	10	95	241	50	10	71	41	22	253	10	10	131
U08998_at	10	71	10	10	10	10	280	10	10	10	10	277	530	10	10	679	10	46	75	10	10	10	299	10	10	10	10	10	10	10	10	10	10	65	10	10	322	126	10	10	10	326	10	349	10	172	252	227	12	10	92	10	10	10	63	10	158	10	10	10	10	10	10	10	10	10	10	10	289	59	207	10	10	10	10	10	99
U09367_at	89	211	308	416	690	322	217	406	241	196	399	404	21	16	20	10	10	10	46	10	10	10	68	10	27	10	10	55	34	10	86	49	267	38	10	186	827	593	212	10	10	10	10	876	62	27	156	19	10	52	124	10	10	10	208	10	31	91	268	90	10	10	35	10	126	110	126	143	71	10	54	10	10	10	10	10	128
U09578_at	10	488	227	365	60	417	201	159	114	505	61	822	189	10	10	10	10	10	10	10	10	10	130	68	92	18	10	10	10	10	10	10	56	319	10	448	595	466	10	10	10	102	10	510	10	10	10	10	171	10	32	10	149	10	10	10	40	72	10	10	10	10	10	10	10	137	53	10	10	10	10	194	63	10	349	12	10
U09646_at	10	142	203	140	85	142	180	104	259	228	10	134	381	10	10	83	10	10	60	10	34	177	10	10	89	10	10	62	10	11	236	29	411	217	10	172	256	131	10	10	138	119	10	150	17	240	16	10	21	78	109	130	36	20	92	10	97	17	68	10	13	10	10	10	32	10	10	10	65	90	10	49	10	10	76	10	10
U09877_at	10	10	10	43	10	205	963	76	252	470	10	629	619	10	10	10	10	10	10	50	10	10	10	10	10	10	10	10	10	10	10	10	672	10	10	10	10	96	10	10	10	79	10	407	10	10	10	10	65	10	10	10	10	10	152	10	10	10	10	10	10	10	10	10	10	10	10	201	10	46	10	10	10	10	10	10	10
U10324_at	341	10	845	59	29	10	10	425	10	10	10	10	53	64	10	896	10	10	1029	10	10	648	10	422	966	10	10	354	10	10	657	10	10	590	10	270	806	811	244	248	10	10	10	444	110	2105	435	565	10	362	710	137	177	270	1195	152	274	125	387	23	10	10	10	10	309	491	43	202	486	745	226	154	10	10	10	10	178
U10362_at	541	219	401	10	10	10	10	109	10	80	10	363	10	544	10	88	10	10	10	10	10	10	264	170	410	10	10	123	10	10	1000	509	10	212	10	333	205	443	224	10	10	10	10	486	384	895	10	165	83	150	1039	521	379	369	10	10	162	741	220	10	10	10	10	10	325	218	10	188	10	255	63	292	10	10	10	10	10
U10991_at	10	111	65	10	13	10	81	53	53	91	10	50	10	182	10	305	23	367	131	10	10	10	132	10	111	10	10	10	10	10	10	10	10	10	10	37	583	35	10	10	10	136	10	10	10	10	10	10	10	83	10	218	10	10	110	10	10	10	10	10	10	10	10	2489	10	10	10	10	10	10	10	10	10	10	31	10	10
U11870_rna1_at	169	592	10	10	75	10	124	10	78	479	10	10	155	55	334	41	10	10	10	248	353	10	131	10	10	10	257	10	128	10	189	10	335	148	349	10	10	10	10	10	10	10	143	10	10	10	10	10	10	19	10	556	10	10	10	57	10	10	10	10	170	49	108	10	10	175	10	66	10	10	10	308	219	10	156	102	257
U11877_at	48	59	10	10	10	130	24	84	46	10	10	116	94	10	10	275	65	25	10	97	10	156	58	10	153	10	67	10	107	10	10	182	144	10	1209	10	10	10	10	30	129	10	100	10	10	72	27	10	10	10	171	47	10	10	10	118	10	10	10	963	15	490	64	532	273	10	189	10	18	59	132	77	67	821	94	109	94
U12139_at	10	794	10	487	277	502	262	17	365	1540	773	555	263	166	10	466	423	10	10	59	1431	10	10	757	10	675	235	301	10	78	861	1092	429	139	1677	353	124	46	1347	10	10	372	209	1049	79	10	10	10	10	28	10	3082	10	303	432	10	232	10	688	10	10	10	332	12806	202	10	10	10	10	233	10	392	10	10	10	84	10
U13220_at	99	311	37	77	116	138	10	130	10	126	10	10	10	233	64	10	10	10	110	10	287	10	68	81	10	169	10	10	333	10	269	66	10	200	10	80	20	205	194	10	10	10	10	42	10	10	122	10	10	10	16	138	10	87	195	10	206	10	192	310	10	10	10	489	194	155	112	188	137	102	10	10	10	10	10	10	298
U13666_at	203	256	220	226	215	207	10	182	10	244	90	191	10	357	427	128	10	10	531	10	143	255	71	99	412	211	10	10	365	10	374	219	10	183	10	301	83	423	506	10	10	10	10	334	88	306	197	113	10	224	26	361	10	232	175	229	111	32	350	225	10	10	10	10	352	95	107	302	62	49	141	274	10	299	10	10	466
U16306_at	281	864	83	327	188	356	271	184	64	910	36	10	477	207	10	186	10	289	175	10	119	2918	251	60	1117	620	10	115	73	10	3246	385	48	3295	18	109	128	180	218	10	71	508	241	66	99	198	13	10	1154	107	1147	146	76	29	1501	64	318	124	126	112	10	22	106	10	25	86	288	283	214	30	112	106	120	203	10	10	70
U17327_at	156	177	274	216	115	53	10	483	144	10	811	349	10	265	793	10	86	10	10	263	585	10	10	10	10	267	10	368	320	10	303	266	300	10	628	150	37	174	954	71	10	10	349	234	10	10	63	280	10	10	23	87	10	326	10	170	94	630	10	121	76	719	10	1815	95	10	286	10	10	10	78	62	109	955	10	120	586
U18271_cds1_at	10	10	59	53	10	10	10	59	55	10	113	10	110	85	51	299	65	104	669	21	10	33	278	10	10	77	10	10	10	43	301	33	36	184	10	83	10	90	10	10	24	221	97	10	49	170	78	514	140	108	27	10	137	83	202	10	71	10	10	10	10	10	10	133	10	45	63	112	176	57	13	91	27	10	86	10	10
U18671_rna1_at	41	132	220	63	166	152	58	159	482	85	10	207	99	133	43	320	187	271	426	88	10	90	146	56	449	10	10	96	150	10	189	130	162	235	533	84	179	87	10	152	68	178	10	12	145	255	10	143	10	63	115	198	131	10	348	101	279	10	28	10	10	10	10	10	64	10	10	68	207	95	207	10	86	10	123	10	10
U18919_at	10	331	435	313	159	304	300	196	584	222	143	405	513	159	10	228	10	127	625	10	10	112	221	326	198	77	10	120	10	114	384	98	471	233	10	340	649	861	10	128	165	256	10	425	10	598	13	10	221	316	305	295	10	23	245	10	73	10	190	10	10	10	40	10	10	10	10	112	218	272	37	84	51	10	98	10	10
U19718_at	10	596	10	10	37	10	244	10	275	548	10	60	295	10	10	91	179	10	10	74	10	70	15	10	63	10	287	10	10	17	340	10	142	756	10	10	10	10	10	10	10	198	263	48	10	10	10	10	596	51	10	10	10	10	612	10	175	85	10	10	10	10	139	635	10	10	10	36	10	134	10	10	135	10	10	10	10
U20530_at	92	85	180	83	54	149	33	159	80	104	32	134	10	108	157	212	10	56	93	10	10	10	102	93	86	10	10	133	128	10	118	10	49	110	10	132	42	93	366	37	10	10	10	58	68	274	288	79	67	10	43	10	140	52	50	49	38	172	10	262	10	10	87	10	10	144	10	40	150	10	115	34	10	10	67	10	10
U20647_at	113	265	282	472	262	559	719	317	11	376	598	504	672	10	304	193	695	484	301	10	10	227	66	306	270	41	10	17	10	123	296	75	267	444	10	331	531	649	10	63	313	555	10	577	429	92	178	377	87	157	764	59	194	303	254	10	124	247	135	10	10	10	10	10	10	10	15	265	80	100	157	10	44	10	63	10	10
U20758_rna1_at	381	2107	1151	253	156	535	185	102	37	2929	10	221	644	23	110	28	10	294	89	10	117	1460	135	69	118	179	259	44	137	272	770	210	10	644	10	631	124	97	160	10	37	1151	55	18	277	30	115	65	1895	427	249	907	10	28	115	32	220	3401	48	108	10	10	10	10	22	405	26	43	59	10	263	184	29	10	33	35	118
U21051_rna1_at	83	210	10	10	10	113	38	10	10	147	10	11	143	10	10	57	10	115	10	96	170	48	69	10	10	10	42	10	52	39	131	10	10	10	165	64	10	10	10	10	63	10	99	58	10	10	52	10	10	21	10	138	62	10	10	120	98	10	54	168	169	424	170	759	10	91	52	10	107	99	108	41	129	197	81	26	169
U21090_at	10	691	10	331	152	964	1001	226	1275	526	347	642	1051	10	10	1044	333	392	321	10	10	642	107	1906	159	10	74	379	10	514	208	147	5638	311	10	204	1151	1565	10	381	504	1209	10	1213	190	1891	282	525	630	183	1188	922	430	196	515	165	10	10	10	58	10	10	10	10	10	32	10	10	17	218	10	26	10	10	202	10	10
U22398_at	56	783	83	83	172	711	137	190	439	711	400	170	64	110	10	10	10	10	10	10	10	10	10	10	67	10	10	10	16	11	10	10	417	32	10	175	208	138	10	54	10	10	10	165	10	10	10	149	10	52	95	73	165	17	55	106	154	10	10	51	10	10	10	10	10	69	41	20	51	46	80	15	87	10	79	14	92
U24169_at	336	815	599	10	44	1110	775	553	670	823	10	545	2279	336	10	905	515	319	456	329	10	1211	264	1273	1145	10	133	644	10	932	917	426	2078	1061	10	543	1145	1053	10	646	508	1647	201	507	199	3833	455	664	1301	295	647	1287	880	346	1104	173	472	227	10	10	10	10	10	10	10	251	10	212	248	723	10	287	54	10	68	10	10
U25801_at	29	141	464	105	102	215	162	55	10	218	385	56	56	212	484	79	295	10	43	30	122	10	20	41	39	98	10	10	10	10	57	265	158	10	10	50	181	13	701	53	10	24	10	32	95	84	52	175	10	55	65	10	10	129	81	98	118	252	10	46	10	146	153	141	10	19	10	134	10	10	68	59	10	10	10	11	10
U28131_at	167	69	129	220	162	20	27	92	51	10	383	46	10	196	955	10	408	10	450	72	572	10	21	10	10	173	215	143	404	100	10	10	10	73	581	19	10	10	480	63	10	42	128	10	243	190	117	200	71	214	10	10	10	437	90	134	138	347	246	291	73	812	217	274	134	91	132	706	185	161	27	10	180	10	88	24	101
U28413_at	166	94	25	10	10	10	10	10	10	10	94	10	10	258	365	149	10	159	127	10	101	10	205	22	31	10	96	128	61	21	36	158	10	167	585	10	10	10	663	10	10	10	274	10	10	10	148	10	10	64	10	292	97	326	35	10	67	10	10	164	148	658	101	798	100	23	186	263	25	173	14	107	10	664	41	27	305
U28811_at	145	2034	3449	1733	1390	1712	990	1863	502	2361	2670	1412	1370	10	10	195	334	10	536	10	10	577	10	303	591	10	37	10	75	289	1820	1061	1446	912	10	1301	3005	2444	177	198	830	876	11	2356	10	250	208	95	302	431	466	10	22	338	1553	10	694	828	590	10	10	10	25	10	409	439	133	669	595	927	434	642	415	309	889	237	10
U29615_at	895	894	4735	2937	10	1389	1304	68	194	1155	10	779	3823	136	834	267	10	2286	10	1595	590	1529	222	10	350	712	264	1228	96	5972	521	2423	10	7445	467	935	132	453	2648	17	775	635	832	1560	3881	1282	10	355	96	5251	111	523	24	290	234	441	1537	2629	271	455	207	597	149	1141	406	211	576	98	122	128	218	426	125	763	10	10	277
U29725_at	10	75	247	67	10	120	126	46	143	107	111	10	92	136	10	10	88	10	131	35	10	15	10	10	417	10	32	10	36	11	27	10	154	116	401	204	140	10	293	10	10	10	10	178	10	233	57	164	10	10	10	10	10	10	56	10	15	10	10	121	10	10	10	463	192	10	10	59	10	29	10	71	26	10	10	10	10
U30313_at	25	70	10	61	10	76	608	10	64	100	10	145	263	10	10	35	139	10	203	116	10	10	160	65	10	133	128	10	10	14	55	10	121	129	10	365	88	10	10	13	323	141	10	110	10	69	14	10	161	123	203	273	458	10	82	172	65	10	240	35	10	10	152	30	10	552	10	33	12	243	239	10	141	10	33	148	47
U30610_at	107	10	278	10	32	10	22	10	202	10	44	120	224	166	10	190	125	10	235	10	10	424	108	56	331	10	21	116	10	131	10	10	10	419	10	34	10	139	10	75	133	186	46	10	10	305	10	101	121	116	74	57	796	10	144	55	126	115	21	204	10	10	93	10	35	224	78	10	125	240	237	98	97	10	175	173	10
U31099_at	10	54	84	10	158	91	76	136	98	91	10	70	81	39	72	10	28	61	103	63	90	688	96	10	199	10	102	246	10	96	88	10	152	246	10	174	89	713	171	10	10	10	10	120	186	193	13	10	10	10	73	426	82	29	10	10	10	88	10	10	19	38	10	1270	105	62	21	10	80	39	10	41	64	293	10	104	87
U32645_at	10	904	1099	464	240	890	567	744	349	927	10	225	710	10	10	10	169	276	853	204	10	492	178	10	312	10	10	57	153	10	455	10	1057	551	10	293	798	1815	10	121	134	436	10	553	223	1845	230	154	807	631	641	403	403	10	1008	10	108	10	10	10	10	10	10	10	10	273	10	119	366	12	87	524	327	371	130	10	10
U33017_at	10	658	64	10	10	110	10	10	10	990	10	925	386	10	10	1288	10	649	1664	10	10	10	256	273	10	10	148	10	10	10	10	10	1429	355	10	380	749	10	10	10	10	10	10	10	170	10	10	10	243	881	10	377	10	10	10	10	186	2043	10	10	10	10	10	10	10	10	10	10	10	10	348	505	112	10	324	73	10
U33429_at	10	10	10	10	10	10	10	10	10	10	10	10	431	502	577	132	830	129	122	10	10	10	10	10	10	10	400	74	603	506	34	10	10	214	10	37	10	10	10	98	10	443	144	47	253	10	10	192	26	15	10	10	47	488	199	10	275	557	150	10	796	10	10	502	315	10	10	398	313	10	10	10	263	10	20	76	10
U33822_at	10	460	10	255	60	332	411	87	80	651	216	647	321	10	10	228	76	10	117	97	10	10	10	877	10	10	85	10	10	10	255	10	641	10	10	166	1497	354	10	102	155	292	62	545	10	10	10	10	35	10	30	182	55	10	261	10	126	223	10	10	10	10	253	10	10	118	10	355	1387	227	10	136	272	10	303	148	10
U33849_at	10	15	10	218	86	10	176	207	10	62	420	244	379	10	10	211	386	10	186	10	10	10	10	301	309	10	10	10	82	10	10	10	959	297	10	297	590	137	34	152	328	363	10	385	10	10	10	10	10	322	10	162	54	195	293	108	81	10	85	321	31	567	248	193	10	10	87	1071	171	295	205	98	244	474	271	185	10
U34683_at	10	294	10	293	10	256	395	171	485	145	228	185	186	186	12	60	35	181	10	36	10	169	10	94	208	10	10	10	10	16	13	92	137	279	10	296	282	228	10	23	125	118	10	168	46	10	10	46	82	121	267	68	72	10	175	10	10	10	10	10	10	10	10	10	10	10	10	62	63	10	10	108	140	10	24	10	10
U35113_at	158	523	646	730	10	675	958	605	111	455	907	697	710	166	10	347	209	169	10	10	10	254	10	268	10	10	10	15	10	270	243	10	1342	156	89	108	1267	1552	10	10	743	1435	207	750	10	121	10	65	10	10	286	640	10	67	1011	10	287	1321	10	410	10	10	90	10	10	158	10	208	314	576	42	311	110	10	203	10	37
U36601_at	10	160	196	113	10	142	10	10	10	244	243	233	10	66	229	10	10	10	202	10	98	230	128	157	190	123	10	10	10	10	38	28	296	240	10	168	122	254	10	10	18	74	10	263	10	443	10	39	35	92	21	10	10	96	234	10	109	20	186	10	10	10	10	10	24	95	75	204	190	64	131	40	10	97	10	10	10
U37221_at	387	10	118	10	10	10	10	10	10	10	10	10	10	10	10	149	10	10	599	10	10	10	10	10	94	127	10	179	478	10	10	15	10	10	10	10	180	10	500	10	10	10	10	10	10	279	122	10	10	86	10	481	10	120	50	10	10	10	258	580	10	10	10	10	514	12	10	252	94	259	124	171	10	10	10	10	529
U37248_at	379	210	686	388	170	412	119	10	208	164	258	71	377	219	10	10	10	10	635	175	10	306	435	10	119	248	10	181	164	10	410	10	103	607	155	198	321	151	785	127	296	10	10	258	371	1241	10	245	60	46	10	10	62	10	427	235	10	10	295	10	146	10	168	10	137	466	223	10	10	105	152	545	238	77	209	196	190
U37283_at	16	360	24	10	36	10	76	47	10	164	10	10	71	124	10	56	10	10	10	289	127	825	87	10	44	10	157	17	54	10	373	286	10	494	203	21	36	91	101	10	10	47	10	62	49	10	98	114	274	10	491	405	53	75	1186	104	98	98	10	23	69	135	164	10	45	98	63	10	10	25	154	68	10	43	10	10	61
U37431_at	30	159	31	15	95	186	180	118	10	135	10	48	70	10	92	88	158	122	126	10	10	151	65	102	58	10	10	49	10	10	10	157	449	98	10	112	274	142	10	10	72	174	10	47	139	643	10	63	10	114	23	323	12	19	150	10	10	21	55	10	10	10	10	10	10	55	10	140	146	10	152	10	101	43	10	151	10
U38175_at	99	186	10	10	10	77	538	10	286	169	10	216	895	11	10	735	211	122	346	43	10	894	32	53	600	10	10	10	10	65	492	10	220	498	151	95	10	455	10	148	499	523	135	155	59	1365	10	97	277	474	245	10	325	10	609	10	127	10	44	10	10	10	10	10	11	248	10	129	525	533	66	439	36	10	349	85	10
U39817_at	292	29	66	212	557	1108	1126	526	217	73	328	575	1244	408	10	613	222	1144	121	277	10	830	577	10	1059	10	179	140	10	108	1473	186	1534	172	10	10	261	1145	113	10	458	319	557	451	223	329	204	285	802	243	99	561	303	211	346	21	10	232	321	10	10	10	10	10	10	30	10	69	10	381	135	10	157	10	21	10	10
U40714_at	42	41	28	10	95	91	10	196	10	102	10	27	10	313	10	238	375	290	612	10	10	10	15	104	367	10	10	372	10	127	194	342	10	387	10	249	114	161	10	259	238	33	10	89	175	895	366	447	10	348	247	279	226	516	361	10	238	439	439	292	99	10	99	10	10	160	89	248	255	122	186	58	41	10	10	34	10
U41344_at	10	479	10	10	10	10	10	10	22	10	431	10	250	399	10	10	57	10	10	256	10	1628	10	10	10	10	340	432	226	10	568	10	564	10	288	10	10	10	10	57	494	455	431	10	10	10	305	10	352	375	10	115	10	363	528	10	10	10	466	10	81	49	218	167	239	10	36	441	10	213	279	10	182	10	227	10	10
U41745_at	155	10	18	10	10	10	10	69	10	10	10	29	217	182	79	400	10	11	215	10	10	10	143	105	131	10	10	31	13	40	245	74	10	155	10	132	34	10	10	47	67	297	295	10	14	874	76	55	66	86	429	10	127	221	190	89	18	507	136	121	10	10	20	10	80	170	13	155	130	198	48	35	10	10	10	10	10
U42408_at	29	10	536	507	10	107	418	406	10	175	10	23	190	10	10	84	122	10	535	10	10	150	10	10	10	10	10	10	10	10	219	45	171	301	10	57	45	10	10	194	174	193	10	137	79	10	27	250	279	95	233	10	70	83	100	10	10	10	139	10	10	10	10	10	10	10	186	615	10	10	10	10	10	646	10	10	385
U43586_at	135	10	10	10	209	182	10	10	10	10	312	249	321	92	51	27	112	282	10	154	10	202	10	527	10	10	133	424	215	10	333	65	10	134	250	180	51	20	10	43	148	140	199	10	460	217	10	392	122	104	195	134	156	172	154	10	146	10	483	37	10	349	31	10	10	83	10	280	10	278	34	75	157	10	10	10	95
U46901_at	10	23	123	10	22	175	244	178	187	10	483	128	10	16	10	10	146	245	164	10	10	177	10	10	35	25	86	16	10	10	10	10	409	10	10	15	97	86	10	10	157	10	10	148	98	282	10	10	65	14	10	10	10	10	10	30	10	10	10	10	52	60	39	880	10	10	10	80	90	10	10	10	10	10	17	10	10
U48736_at	185	10	53	47	135	10	10	155	10	10	10	26	186	10	10	453	122	436	310	128	10	380	110	138	161	56	10	10	10	78	462	270	10	345	10	306	25	10	10	291	198	279	28	10	143	409	106	495	10	254	46	51	195	150	307	66	150	56	261	39	10	10	101	10	153	288	15	256	385	422	398	235	415	10	438	154	73
U48959_at	29	328	178	402	47	355	483	362	234	564	10	121	10	10	10	10	10	10	10	10	10	90	10	10	51	10	10	10	10	10	10	10	39	211	10	605	221	426	10	10	10	10	10	331	10	10	10	10	503	98	305	10	147	10	275	49	126	10	10	10	10	10	10	10	10	89	53	10	10	172	10	85	10	10	88	10	10
U49188_at	12	467	533	10	272	251	90	163	10	444	10	253	517	10	10	72	243	129	162	10	10	603	64	208	130	10	10	10	10	206	540	253	505	492	10	1512	451	255	10	178	500	624	214	10	19	14	10	305	91	220	203	164	60	189	1004	10	273	347	650	10	231	10	10	10	92	370	10	508	595	596	313	249	354	10	590	234	10
U49742_at	113	10	10	10	29	10	10	10	10	103	170	10	10	200	10	10	60	10	67	10	85	57	10	10	10	10	10	10	11	188	265	10	10	10	103	10	10	194	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	272	10	115	10	10	10	10	73	388	10	1751	132	10	10	183	10	241	10	10	150	10	10	10	305
U49928_at	10	131	60	10	38	144	79	10	221	354	10	66	225	152	10	99	10	11	75	166	10	351	10	75	31	10	176	10	132	56	115	10	129	74	10	10	126	162	10	10	280	226	241	22	10	10	10	10	47	16	10	10	10	10	213	10	83	10	36	10	458	101	180	1446	69	92	140	130	10	85	10	56	131	211	10	310	89
